GB107,"¿Puede la negación estándar marcarse mediante un afijo, clítico o modificación del verbo?"
GB047,¿Existe un patrón morfológico productivo para derivar un sustantivo de acción/estado a partir de un verbo?
GB105,¿Puede el receptor en una construcción ditransitiva marcarse como el paciente monotransitivo?
GB135,¿Los objetos clausales suelen aparecer en la misma posición que los objetos nominales?
GB092,¿Puede el argumento A ser indexado por un prefijo/proclítico en el verbo en la cláusula principal simple?
GB090,¿Puede el argumento S ser indexado por un prefijo/proclítico en el verbo en la cláusula principal simple?
GB089,¿Puede el argumento S ser indexado por un sufijo/enclítico en el verbo en la cláusula principal simple?
GB091,¿Puede el argumento A ser indexado por un sufijo/enclítico en el verbo en la cláusula principal simple?
GB049,¿Existe un patrón morfológico productivo para derivar un sustantivo objeto a partir de un verbo?
GB074,¿Existen preposiciones?
GB082,¿Existe marcación morfológica explícita del tiempo presente en los verbos?
GB037,¿Los demostrativos muestran una distinción visible/no visible?
GB048,¿Existe un patrón morfológico productivo para derivar un sustantivo agente a partir de un verbo?
GB086,¿Está disponible en los verbos una distinción morfológica entre aspecto perfectivo e imperfectivo?
GB113,¿Existen afijos o clíticos verbales que conviertan verbos intransitivos en transitivos?
GB115,¿Existe un marcador recíproco fonológicamente ligado en el verbo?
GB114,¿Existe un marcador reflexivo fonológicamente ligado en el verbo?
GB104,¿Existe un marcador aplicativo instrumental en el verbo (incluyendo indexación)?
GB148,¿Existe una antipasiva morfológica marcada en el verbo léxico?
GB069,"¿Los adjetivos básicos (definidos semánticamente como conceptos de propiedad: valor, forma, edad, dimensión) usados atributivamente requieren el mismo tratamiento morfológico que los verbos?"
GB109,¿Existe supletivismo verbal para el número de participantes?
GB137,¿Puede la negación estándar marcarse al final de la cláusula?
GB072,"¿Existen casos morfológicos para los sintagmas nominales no pronominales oblicuos (es decir, no S/A/P)?"
GB070,"¿Existen casos morfológicos para los argumentos centrales no pronominales (es decir, S/A/P)?"
GB052,¿Existe un sistema de género o clase nominal en el que la forma es un factor en la asignación de clase?
GB075,¿Existen posposiciones?
GB071,"¿Existen casos morfológicos para los argumentos centrales pronominales (es decir, S/A/P)?"
GB108,¿Existe marcación morfológica direccional o locativa en los verbos?
GB081,¿Existe infijación productiva en los verbos?
GB058,¿Existen clasificadores posesivos?
GB122,¿Es la composición verbal un proceso regular?
GB054,¿Existe un sistema de género o clase nominal en el que el estatus de planta es un factor en la asignación de clase?
GB051,¿Existe un sistema de género o clase nominal en el que el sexo es un factor en la asignación de clase?
GB110,¿Existe supletivismo verbal para el tiempo o el aspecto?
GB152,¿Existe una distinción marcada morfológicamente entre cláusulas simultáneas y secuenciales?
GB134,¿El orden de los constituyentes es el mismo en las cláusulas principales y subordinadas?
GB129,"¿Existe un número notablemente pequeño, es decir, de aproximadamente 100 raíces verbales o menos, en la lengua?"
GB059,¿Es diferente la construcción posesiva adnominal para los sustantivos alienables e inalienables?
GB150,¿Existe encadenamiento de cláusulas?
GB080,"¿Los verbos tienen sufijos o enclíticos distintos de los que solo marcan A, S o P (incluyendo portmanteau: A y S + TAM)?"
GB151,"¿Existe un marcador verbal explícito dedicado a señalar la correferencia o no correferencia entre el sujeto de una cláusula y un argumento de una cláusula adyacente (""referencia conmutada"")?"
GB103,¿Existe un marcador aplicativo benefactivo en el verbo (incluyendo indexación)?
GB138,¿Puede la negación estándar marcarse al inicio de la cláusula?
GB116,"¿Los verbos clasifican la forma, el tamaño o la consistencia de los argumentos absolutivos mediante sustantivos incorporados, afijos verbales o raíces verbales supletivas?"
GB073,"¿Existen casos morfológicos para los pronombres personales oblicuos independientes (es decir, no S/A/P)?"
GB068,"¿Los adjetivos básicos (definidos semánticamente como conceptos de propiedad, tales como valor, forma, edad, dimensión) se comportan como verbos en posición predicativa?"
GB149,¿Existe un inverso marcado morfológicamente en los verbos?
GB159,¿Se reduplican los sustantivos?
GB095,¿Existen variaciones en las estrategias de marcación de los participantes centrales según distinciones de TAM?
GB098,¿Existen variaciones en las estrategias de marcación de los participantes centrales según distinciones de persona?
GB039,¿Existe alomorfía no fonológica en los marcadores de número nominal?
GB096,¿Existen variaciones en las estrategias de marcación de los participantes centrales según clases verbales?
GB124,¿Es la incorporación de sustantivos en los verbos un proceso intransitivizador productivo?
GB136,"¿Es fijo el orden de los constituyentes del argumento central (es decir, S/A/P)?"
GB126,¿Existe un verbo existencial?
